"eventId"	"subjectOrganismId"	"interactionType"	"interactionTypeId"	"objectOrganismId"
"evt_1"	"sub_1"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_1"
"evt_2"	"sub_2"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_2"
"evt_3"	"sub_3"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_3"
"evt_4"	"sub_4"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_4"
"evt_5"	"sub_5"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_5"
"evt_6"	"sub_6"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_6"
"evt_7"	"sub_7"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_7"
"evt_8"	"sub_8"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_8"
"evt_9"	"sub_9"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_9"
"evt_10"	"sub_10"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_10"
"evt_11"	"sub_11"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_11"
"evt_12"	"sub_12"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_12"
"evt_13"	"sub_13"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_13"
"evt_14"	"sub_14"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_14"
"evt_15"	"sub_15"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_15"
"evt_16"	"sub_16"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_16"
"evt_17"	"sub_17"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_17"
"evt_18"	"sub_18"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_18"
"evt_19"	"sub_19"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_19"
"evt_20"	"sub_20"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_20"
"evt_21"	"sub_21"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_21"
"evt_22"	"sub_22"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_22"
"evt_23"	"sub_23"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_23"
"evt_24"	"sub_24"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_24"
"evt_25"	"sub_25"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_25"
"evt_26"	"sub_26"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_26"
"evt_27"	"sub_27"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_27"
"evt_28"	"sub_28"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_28"
"evt_29"	"sub_29"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_29"
"evt_30"	"sub_30"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_30"
"evt_31"	"sub_31"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_31"
"evt_32"	"sub_32"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_32"
"evt_33"	"sub_33"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_33"
"evt_34"	"sub_34"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_34"
"evt_35"	"sub_35"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_35"
"evt_36"	"sub_36"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_36"
"evt_37"	"sub_37"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_37"
"evt_38"	"sub_38"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_38"
"evt_39"	"sub_39"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_39"
"evt_40"	"sub_40"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_40"
"evt_41"	"sub_41"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_41"
"evt_42"	"sub_42"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_42"
"evt_43"	"sub_43"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_43"
"evt_44"	"sub_44"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_44"
"evt_45"	"sub_45"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_45"
"evt_46"	"sub_46"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_46"
"evt_47"	"sub_47"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_47"
"evt_48"	"sub_48"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_48"
"evt_49"	"sub_49"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_49"
"evt_50"	"sub_50"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_50"
"evt_51"	"sub_51"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_51"
"evt_52"	"sub_52"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_52"
"evt_53"	"sub_53"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_53"
"evt_54"	"sub_54"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_54"
"evt_55"	"sub_55"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_55"
"evt_56"	"sub_56"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_56"
"evt_57"	"sub_57"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_57"
"evt_58"	"sub_58"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_58"
"evt_59"	"sub_59"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_59"
"evt_60"	"sub_60"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_60"
"evt_61"	"sub_61"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_61"
"evt_62"	"sub_62"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_62"
"evt_63"	"sub_63"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_63"
"evt_64"	"sub_64"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_64"
"evt_65"	"sub_65"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_65"
"evt_66"	"sub_66"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_66"
"evt_67"	"sub_67"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_67"
"evt_68"	"sub_68"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_68"
"evt_69"	"sub_69"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_69"
"evt_70"	"sub_70"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_70"
"evt_71"	"sub_71"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_71"
"evt_72"	"sub_72"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_72"
"evt_73"	"sub_73"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_73"
"evt_74"	"sub_74"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_74"
"evt_75"	"sub_75"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_75"
"evt_76"	"sub_76"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_76"
"evt_77"	"sub_77"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_77"
"evt_78"	"sub_78"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_78"
"evt_79"	"sub_79"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_79"
"evt_80"	"sub_80"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_80"
"evt_81"	"sub_81"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_81"
"evt_82"	"sub_82"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_82"
"evt_83"	"sub_83"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_83"
"evt_84"	"sub_84"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_84"
"evt_85"	"sub_85"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_85"
"evt_86"	"sub_86"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_86"
"evt_87"	"sub_87"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_87"
"evt_88"	"sub_88"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_88"
"evt_89"	"sub_89"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_89"
"evt_90"	"sub_90"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_90"
"evt_91"	"sub_91"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_91"
"evt_92"	"sub_92"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_92"
"evt_93"	"sub_93"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_93"
"evt_94"	"sub_94"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_94"
"evt_95"	"sub_95"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_95"
"evt_96"	"sub_96"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_96"
"evt_97"	"sub_97"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_97"
"evt_98"	"sub_98"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_98"
"evt_99"	"sub_99"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_99"
"evt_100"	"sub_100"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_100"
"evt_101"	"sub_101"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_101"
"evt_102"	"sub_102"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_102"
"evt_103"	"sub_103"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_103"
"evt_104"	"sub_104"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_104"
"evt_105"	"sub_105"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_105"
"evt_106"	"sub_106"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_106"
"evt_107"	"sub_107"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_107"
"evt_108"	"sub_108"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_108"
"evt_109"	"sub_109"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_109"
"evt_110"	"sub_110"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_110"
"evt_111"	"sub_111"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_111"
"evt_112"	"sub_112"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_112"
"evt_113"	"sub_113"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_113"
"evt_114"	"sub_114"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_114"
"evt_115"	"sub_115"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_115"
"evt_116"	"sub_116"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_116"
"evt_117"	"sub_117"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_117"
"evt_118"	"sub_118"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_118"
"evt_119"	"sub_119"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_119"
"evt_120"	"sub_120"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_120"
"evt_121"	"sub_121"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_121"
"evt_122"	"sub_122"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_122"
"evt_123"	"sub_123"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_123"
"evt_124"	"sub_124"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_124"
"evt_125"	"sub_125"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_125"
"evt_126"	"sub_126"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_126"
"evt_127"	"sub_127"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_127"
"evt_128"	"sub_128"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_128"
"evt_129"	"sub_129"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_129"
"evt_130"	"sub_130"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_130"
"evt_131"	"sub_131"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_131"
"evt_132"	"sub_132"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_132"
"evt_133"	"sub_133"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_133"
"evt_134"	"sub_134"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_134"
"evt_135"	"sub_135"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_135"
"evt_136"	"sub_136"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_136"
"evt_137"	"sub_137"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_137"
"evt_138"	"sub_138"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_138"
"evt_139"	"sub_139"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_139"
"evt_140"	"sub_140"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_140"
"evt_141"	"sub_141"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_141"
"evt_142"	"sub_142"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_142"
"evt_143"	"sub_143"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_143"
"evt_144"	"sub_144"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_144"
"evt_145"	"sub_145"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_145"
"evt_146"	"sub_146"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_146"
"evt_147"	"sub_147"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_147"
"evt_148"	"sub_148"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_148"
"evt_149"	"sub_149"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_149"
"evt_150"	"sub_150"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_150"
"evt_151"	"sub_151"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_151"
"evt_152"	"sub_152"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_152"
"evt_153"	"sub_153"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_153"
"evt_154"	"sub_154"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_154"
"evt_155"	"sub_155"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_155"
"evt_156"	"sub_156"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_156"
"evt_157"	"sub_157"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_157"
"evt_158"	"sub_158"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_158"
"evt_159"	"sub_159"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_159"
"evt_160"	"sub_160"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_160"
"evt_161"	"sub_161"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_161"
"evt_162"	"sub_162"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_162"
"evt_163"	"sub_163"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_163"
"evt_164"	"sub_164"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_164"
"evt_165"	"sub_165"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_165"
"evt_166"	"sub_166"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_166"
"evt_167"	"sub_167"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_167"
"evt_168"	"sub_168"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_168"
"evt_169"	"sub_169"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_169"
"evt_170"	"sub_170"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_170"
"evt_171"	"sub_171"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_171"
"evt_172"	"sub_172"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_172"
"evt_173"	"sub_173"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_173"
"evt_174"	"sub_174"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_174"
"evt_175"	"sub_175"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_175"
"evt_176"	"sub_176"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_176"
"evt_177"	"sub_177"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_177"
"evt_178"	"sub_178"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_178"
"evt_179"	"sub_179"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_179"
"evt_180"	"sub_180"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_180"
"evt_181"	"sub_181"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_181"
"evt_182"	"sub_182"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_182"
"evt_183"	"sub_183"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_183"
"evt_184"	"sub_184"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_184"
"evt_185"	"sub_185"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_185"
"evt_186"	"sub_186"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_186"
"evt_187"	"sub_187"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_187"
"evt_188"	"sub_188"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_188"
"evt_189"	"sub_189"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_189"
"evt_190"	"sub_190"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_190"
"evt_191"	"sub_191"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_191"
"evt_192"	"sub_192"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_192"
"evt_193"	"sub_193"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_193"
"evt_194"	"sub_194"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_194"
"evt_195"	"sub_195"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_195"
"evt_196"	"sub_196"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_196"
"evt_197"	"sub_197"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_197"
"evt_198"	"sub_198"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_198"
"evt_199"	"sub_199"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_199"
"evt_200"	"sub_200"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_200"
"evt_201"	"sub_201"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_201"
"evt_202"	"sub_202"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_202"
"evt_203"	"sub_203"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_203"
"evt_204"	"sub_204"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_204"
"evt_205"	"sub_205"		"http://purl.obolibrary.org/obo/RO_0002623"	"obj_205"
"evt_206"	"sub_206"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_206"
"evt_207"	"sub_207"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_207"
"evt_208"	"sub_208"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_208"
"evt_209"	"sub_209"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_209"
"evt_210"	"sub_210"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_210"
"evt_211"	"sub_211"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_211"
"evt_212"	"sub_212"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_212"
"evt_213"	"sub_213"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_213"
"evt_214"	"sub_214"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_214"
"evt_215"	"sub_215"		"http://purl.obolibrary.org/obo/RO_0002471"	"obj_215"
"evt_216"	"sub_216"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_216"
"evt_217"	"sub_217"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_217"
"evt_218"	"sub_218"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_218"
"evt_219"	"sub_219"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_219"
"evt_220"	"sub_220"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_220"
"evt_221"	"sub_221"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_221"
"evt_222"	"sub_222"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_222"
"evt_223"	"sub_223"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_223"
"evt_224"	"sub_224"		"http://purl.obolibrary.org/obo/RO_0002456"	"obj_224"
