"location_id"	"parent_location_id"	"higher_geography_id"	"higher_geography"	"continent"	"water_body"	"island_group"	"island"	"country"	"country_code"	"state_province"	"county"	"municipality"	"locality"	"minimum_elevation_in_meters"	"maximum_elevation_in_meters"	"minimum_distance_above_surface_in_meters"	"maximum_distance_above_surface_in_meters"	"minimum_depth_in_meters"	"maximum_depth_in_meters"	"vertical_datum"	"location_according_to"	"location_remarks"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spatial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georeferenced_by"	"georeferenced_date"	"georeference_protocol"	"georeference_sources"	"georeference_remarks"	"preferred_spatial_representation"
"loc_30"								"Chile"	"CH"	"Antofagasta"				2460									-22.32	-68.22													
"loc_31"								"Chile"	"CH"	"Antofagasta"				3260									-22.33	-68.65													
"loc_32"								"Chile"	"CH"	"Metropolitana de Santiago"				2480									-33.32	-70.23333333													
"loc_33"								"Chile"	"CH"	"Metropolitana de Santiago"				2600									-33.77	-70.45													
"loc_34"								"Chile"	"CH"	"Metropolitana de Santiago"				890									-33.39	-70.53444444													
"loc_35"								"Chile"	"CH"	"Los Rios"													-41.83	-73.66666667													
"loc_36"								"Chile"	"CH"	"Magallanes"													-52.042	-69.72													
"loc_37"								"Chile"	"CH"	"Bio Bio"													-36.53	-71.91666667													
"loc_38"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.57	-70.63333333													
"loc_39"								"Chile"	"CH"	"Maule"													-35.49	-72.37972222													
"loc_40"								"Chile"	"CH"	"Valparaiso"													-33.046	-71.492													
"loc_41"								"Chile"	"CH"	"Valparaiso"													-33.043	-71.023													
"loc_42"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.571	-70.266													
"loc_43"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.614	-70.281													
"loc_44"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.74	-70.427													
"loc_45"								"Chile"	"CH"	"O'Higgins"													-34.195	-70.55													
"loc_46"								"Chile"	"CH"	"O'Higgins"													-34.951	-70.436													
"loc_47"								"Chile"	"CH"	"Maule"													-35.445	-71.031													
"loc_48"								"Chile"	"CH"	"Valparaiso"													-32.18	-71.536													
"loc_49"								"Chile"	"CH"	"Los Rios"													-39.803	-73.261													
"loc_50"								"Chile"	"CH"	"Los Rios"													-39.8	-73.23333333													
"loc_51"								"Chile"	"CH"	"Los Rios"													-39.818	-73.202													
"loc_52"								"Chile"	"CH"	"Los Lagos"				36									-41.88	-73.66663889													
"loc_53"								"Chile"	"CH"	"Los Lagos"													-41.88	-73.53333333													
"loc_54"								"Chile"	"CH"	"Maule"													-33.07	-71													
"loc_55"								"Chile"	"CH"	"Los Lagos"													-39.75	-73.23333333													
"loc_56"								"Chile"	"CH"	"Atacama"													-23.278	-68.541													
"loc_57"								"Chile"	"CH"	"Metropolitana de Santiago"				2800									-33.35	-70.26666667													
"loc_58"								"Chile"	"CH"	"Ñuble"													-36.6	-72													
"loc_59"								"Chile"	"CH"	"Magallanes"													-50.87	-72.73333333													
"loc_60"								"Chile"	"CH"	"Araucania"													-37.77	-72.78333333													
"loc_61"								"Chile"	"CH"	"Araucania"													-38.47	-71.63333333													
"loc_62"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.38	-70.45													
"loc_63"								"Chile"	"CH"	"Maule"													-35.03	-70.6													
"loc_64"								"Chile"	"CH"	"Maule"				2200									-35.6	-71													
"loc_65"								"Chile"	"CH"	"Maule"													-36.002	-72.772													
"loc_66"								"Chile"	"CH"	"Valparaiso"													-33.66	-70.32305556													
"loc_67"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.79	-71.83666667													
"loc_68"								"Chile"	"CH"	"O'Higgins"				585									-35.02	-71.83666667													
"loc_69"								"Chile"	"CH"	"Los Rios"													-40.272	-73.093													
"loc_70"								"Chile"	"CH"	"Los Lagos"													-42.37	-72.4													
"loc_71"								"Chile"	"CH"	"Araucania"				59									-38.73	-72.88333333													
"loc_72"								"Chile"	"CH"	"Araucania"				94									-39.1	-72.617													
"loc_73"								"Chile"	"CH"	"Bio Bio"													-37.25	-71.91666667													
"loc_74"								"Chile"	"CH"	"Los Rios"													-39.82083	-73.28083													
"loc_75"								"Chile"	"CH"	"Araucania"													-39.135	-72.558													
"loc_76"								"Chile"	"CH"	"Araucania"													-39.172	-72.432													
"loc_77"								"Chile"	"CH"	"Araucania"													-38.838	-72.37													
"loc_78"								"Chile"	"CH"	"Araucania"													-39.335	-71.972													
"loc_79"								"Chile"	"CH"	"Valparaiso"													-33.13595	-71.70783													
"loc_80"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.35327	-70.32563													
"loc_81"								"Chile"	"CH"	"Bio Bio"													-37.46087	-72.3273													
"loc_82"								"Chile"	"CH"	"Araucania"													-37.83595	-72.4211													
"loc_83"								"Chile"	"CH"	"Bio Bio"													-37.79992	-73.22475													
"loc_84"								"Chile"	"CH"	"Araucania"													-38.18975	-72.72617													
"loc_85"								"Chile"	"CH"	"Araucania"													-39.33937	-71.74587													
"loc_86"								"Chile"	"CH"	"Los Lagos"													-41.70433	-73.35548													
"loc_87"								"Chile"	"CH"	"Los Lagos"													-41.27403	-72.47528													
"loc_88"								"Chile"	"CH"	"Los Lagos"													-40.94647	-72.7488													
"loc_89"								"Chile"	"CH"	"Araucania"													-38.31043	-71.78938													
"loc_90"								"Chile"	"CH"	"Ñuble"													-36.18277	-72.6572													
"loc_91"								"Chile"	"CH"	"Aysen"													-45.92165	-71.83737													
"loc_92"								"Chile"	"CH"	"Aysen"													-46.56417	-72.71338													
"loc_93"								"Chile"	"CH"	"Aysen"													-46.6647	-72.64425													
