"eventId"	"parentEventId"	"datasetId"	"locationId"	"protocolId"	"eventType"	"eventName"	"recordedBy"	"recordedById"	"fieldNumber"	"eventDate"	"year"	"month"	"day"	"verbatimEventDate"	"verbatimLocality"	"verbatimElevation"	"verbatimDepth"	"verbatimCoordinates"	"verbatimLatitude"	"verbatimLongitude"	"verbatimCoordinateSystem"	"verbatimSrs"	"habitat"	"protocolDescription"	"sampleSizeValue"	"sampleSizeUnit"	"eventEffort"	"fieldNotes"	"eventCitation"	"eventRemarks"	"higherGeographyId"	"higherGeography"	"continent"	"waterBody"	"islandGroup"	"island"	"country"	"countryCode"	"stateProvince"	"county"	"municipality"	"locality"	"minimumElevationInMeters"	"maximumElevationInMeters"	"minimumDistanceAboveSurfaceInMeters"	"maximumDistanceAboveSurfaceInMeters"	"minimumDepthInMeters"	"maximumDepthInMeters"	"verticalDatum"	"locationAccordingTo"	"locationRemarks"	"decimalLatitude"	"decimalLongitude"	"geodeticDatum"	"coordinateUncertaintyInMeters"	"coordinatePrecision"	"pointRadiusSpatialFit"	"footprintWkt"	"footprintSrs"	"footprintSpatialFit"	"georeferencedBy"	"georeferencedDate"	"georeferenceProtocol"	"georeferenceSources"	"georeferenceRemarks"	"preferredSpatialRepresentation"
"evt_11"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_12"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_13"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_14"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_15"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_16"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_17"					"ORGANISM_INTERACTION"					""					""	""		"38°- 42° S"																			"Chile"		"Los Lagos"			""																								
"evt_18"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_19"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_20"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_21"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_22"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_23"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_24"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_25"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_26"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_27"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_28"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_29"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_30"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_31"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_32"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_33"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_34"					"ORGANISM_INTERACTION"					""					""	""		"38°- 42° S"																			"Chile"		"Los Lagos"			""																								
"evt_35"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_36"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_37"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_38"					"ORGANISM_INTERACTION"					""					""	""		"38°- 42° S"																			"Chile"		"Los Lagos"			""																								
"evt_39"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_40"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_41"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_42"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_43"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_44"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_45"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_46"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_47"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
