organismID	organismScope	organismName	organismRemarks	verbatimIdentification	scientificName	family	kingdom	taxonRank
vir024	virus	229E-related bat coronavirus		BtCoV/BUO2E-F155/Hip_cf._rub/GHA/2011	BtCoV/BUO2E-F155/Hip_cf._rub/GHA/2011	Coronaviridae	Virus	strain
vir025	virus	229E-related bat coronavirus		BtCoV/BUO2E-F156/Hip_cf._rub/GHA/2011	BtCoV/BUO2E-F156/Hip_cf._rub/GHA/2011	Coronaviridae	Virus	strain
vir026	virus	229E-related bat coronavirus		BtCoV/BUO2E-F157/Hip_cf._rub/GHA/2011	BtCoV/BUO2E-F157/Hip_cf._rub/GHA/2011	Coronaviridae	Virus	strain
vir027	virus	229E-related bat coronavirus		BtCoV/BUO2E-F159/Hip_cf._rub/GHA/2011	BtCoV/BUO2E-F159/Hip_cf._rub/GHA/2011	Coronaviridae	Virus	strain
vir028	virus	229E-related bat coronavirus		BtCoV/BUO2E-F160/Hip_cf._rub/GHA/2011	BtCoV/BUO2E-F160/Hip_cf._rub/GHA/2011	Coronaviridae	Virus	strain
vir029	virus	229E-related bat coronavirus		BtCoV/BUO2E-F27/Hip_cf._rub/GHA/2011	BtCoV/BUO2E-F27/Hip_cf._rub/GHA/2011	Coronaviridae	Virus	strain
vir030	virus	229E-related bat coronavirus		BtCoV/BUO2E-F39/Hip_cf._rub/GHA/2011	BtCoV/BUO2E-F39/Hip_cf._rub/GHA/2011	Coronaviridae	Virus	strain
vir031	virus	229E-related bat coronavirus		BtCoV/BUO2E-F58/Hip_cf._rub/GHA/2011	BtCoV/BUO2E-F58/Hip_cf._rub/GHA/2011	Coronaviridae	Virus	strain
vir032	virus	229E-related bat coronavirus		BtCoV/FO-A-42/Hip_aba/GHA/2010	BtCoV/FO-A-42/Hip_aba/GHA/2010	Coronaviridae	Virus	strain
vir033	virus	229E-related bat coronavirus		BtCoV/FO-A-58/Hip_aba/GHA/2010	BtCoV/FO-A-58/Hip_aba/GHA/2010	Coronaviridae	Virus	strain
vir034	virus	229E-related bat coronavirus		BtCoV/FO-A-73/Hip_cf._rub/GHA/2010	BtCoV/FO-A-73/Hip_cf._rub/GHA/2010	Coronaviridae	Virus	strain
vir035	virus	229E-related bat coronavirus		BtCoV/FO1A-F2/Hip_aba/GHA/2010	BtCoV/FO1A-F2/Hip_aba/GHA/2010	Coronaviridae	Virus	strain
