eventID	subjectOrganismID	interactionType	interactionTypeID	objectOrganismID
E2	S1	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O1
E3	S2	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O2
E4	S3	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O3
E5	S4	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O4
E6	S5	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O5
E7	S6	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O6
E8	S7	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O7
E9	S8	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O8
E10	S9	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O9
E11	S10	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O10
E12	S11	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O11
E13	S12	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O12
E14	S13	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O13
E15	S14	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O14
E16	S15	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O15
E17	S16	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O16
E18	S17	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O17
E19	S18	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O18
E20	S19	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O19
E21	S20	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O20
E22	S21	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O21
E23	S22	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O22
E24	S23	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O23
E25	S24	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O24
E26	S25	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O25
E27	S26	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O26
E28	S27	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O27
E29	S28	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O28
E30	S29	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O29
E31	S30	visited flowers of	http://purl.obolibrary.org/obo/RO_0002622	O30
