assertion_target_id,assertion_target_type,assertion_type,assertion_value,assertion_value_numeric,assertion_unit,assertion_made_date,assertion_effective_date,assertion_by_agent_name,assertion_by_agent_id,assertion_protocol,assertion_protocol_id,assertion_citation,assertion_remarks
c8ee38f43f0576ad8405d1e50a874cc62c5ac971,ORGANISM,sex,M,,,,2010-04-07,,,,,,
f242d71cd3f108afd88fee6aa92b03712e7efd8b,ORGANISM,sex,M,,,,2010-04-30,,,,,,
14a5b47c5ce8c3404b5ccb99cf924fb4b1f8cbf4,ORGANISM,sex,M,,,,2010-04-30,,,,,,
2db2187de3d663bea015574ec06cd56fab1c660d,ORGANISM,sex,M,,,,2010-04-30,,,,,,
ee5960bf3c9bcef2cd6c6d332cb81df18c8ed0cb,ORGANISM,sex,M,,,,2010-04-30,,,,,,
b5b5ea5d3e589377a9e70952b5834d4ab1d766e1,ORGANISM,sex,M,,,,2010-05-01,,,,,,
3a394c0f0f676e06a6ca6c947060cb461ecb4ca2,ORGANISM,sex,M,,,,2010-04-30,,,,,,
2533fe3d2caaa302e292060f855fdb10510be1f8,ORGANISM,sex,M,,,,2010-04-17,,,,,,
5902171690dad02cb838ace86e25403380525106,ORGANISM,sex,M,,,,2010-04-30,,,,,,
08e1f2047f9e5a81dd6a6faabd0c3af5dc474772,ORGANISM,sex,M,,,,2010-12-10,,,,,,
101251fc089217246db8f91a16726b49f49b687a,ORGANISM,sex,F,,,,2010-02-03,,,,,,
4627e931844d8ca490887180323e2af19d2be6f6,ORGANISM,sex,F,,,,2010-12-17,,,,,,
ee5e8f49779b2a420c8fff9213c9efb5d41b6261,ORGANISM,sex,M,,,,2018-05-25,,,,,,
cc948f0dcc31f90560545a6805a347645c5a8e52,ORGANISM,sex,M,,,,2018-05-25,,,,,,
ca6a9af3294b89cd5fc942213546316f44be8a57,ORGANISM,sex,M,,,,2018-05-25,,,,,,
3b21187b4937d4a03907e49272f4a8835470338a,ORGANISM,sex,M,,,,2018-05-25,,,,,,
40a532c3514124e18a410da2ae38e1c552d6b420,ORGANISM,sex,M,,,,2018-05-25,,,,,,
f965511276bd19932cdeca3f84fdf8f0e59f2730,ORGANISM,sex,M,,,,2018-05-25,,,,,,
6d6461bcd235002fe2f7f7b36fccb2a977474fec,ORGANISM,sex,F,,,,2018-05-25,,,,,,
5a6776f3c75ecbef00bbbc942592fe1a2a1e7d28,ORGANISM,sex,M,,,,2018-05-25,,,,,,
326a2b1ad55c16bf61fda9fb35de2cf32b1eb7ce,ORGANISM,sex,M,,,,2018-05-25,,,,,,
66d94e534ed3bf908fec7d6fdfb89cadb94ab23a,ORGANISM,sex,M,,,,2018-05-25,,,,,,
3bfd073dfff939d5f8aa347835341140afc18e42,ORGANISM,sex,M,,,,2018-05-25,,,,,,
e50c2d840786ed49ce874a9d532784e1cdb96e94,ORGANISM,sex,F,,,,2010-04-06,,,,,,
5cff75502752f9f69954bfa89251920a3c8d9f60,ORGANISM,sex,M,,,,2018-05-25,,,,,,
0ea48e381e36165fa9993c751d06f13bcf444aae,ORGANISM,sex,M,,,,2018-05-25,,,,,,
8dfd41756dce698f08f8a0b209e11eb44c8dac20,ORGANISM,sex,M,,,,2018-05-25,,,,,,
aa8aedd365f0fcc3abd77ac233f006f8041b10d6,ORGANISM,sex,M,,,,2018-05-25,,,,,,
0a4a1dc71a9becd71c755c08921cd6da755976fb,ORGANISM,sex,M,,,,2018-05-25,,,,,,
03cb47d1c5792e4f2c5ca20de1edcf999b70ca80,ORGANISM,sex,M,,,,2018-05-25,,,,,,
d791218e59769a86fb77171411c988f349184edc,ORGANISM,sex,M,,,,2010-04-07,,,,,,
4c0a97851273a9c95b6b91ffef211fcfc75bd1ae,ORGANISM,sex,M,,,,2018-05-25,,,,,,
