location_id,parent_location_id,higher_geography_id,higher_geography,continent,water_body,island_group,island,country,country_code,state_province,county,municipality,locality,minimum_elevation_in_meters,maximum_elevation_in_meters,minimum_distance_above_surface_in_meters,maximum_distance_above_surface_in_meters,minimum_depth_in_meters,maximum_depth_in_meters,vertical_datum,location_according_to,location_remarks,decimal_latitude,decimal_longitude,geodetic_datum,coordinate_uncertainty_in_meters,coordinate_precision,point_radius_spatial_fit,footprint_wkt,footprint_srs,footprint_spatial_fit,georeferenced_by,georeferenced_date,georeference_protocol,georeference_sources,georeference_remarks,preferred_spatial_representation
ae31d763d198ad7a64518eb697b3f87dc54a0997,,,,,,,,México,MX,Oaxaca,,San Agustin Amatengo,Carretera 175,1595.0,,,,,,,,,16.50719,96.73696,EPSG:4326,,,,,,,,,,,,
eafbc6f5c2a77d13c70a0f765d6f04b1a662d4ad,,,,,,,,México,MX,Oaxaca,,Miahuatlan de Porfirio Diaz,"El Zompantle, carr 175",1554.0,,,,,,,,,16.41448,96.66933,EPSG:4326,,,,,,,,,,,,
0194733d23a77e301e0a1e84d1396b121bf4f752,,,,,,,,México,MX,Oaxaca,,San Miguel Suchixtepec,puente el Molino II,2238.0,,,,,,,,,16.07961,96.47385,EPSG:4326,,,,,,,,,,,,
985e4120805aa7b77c832dc7c05ef61b7b4986c9,,,,,,,,México,MX,Oaxaca,,San Miguel Suchixtepec,"Carretera 175, norte del pueblo",2715.0,,,,,,,,,16.11575,96.47539,EPSG:4326,,,,,,,,,,,,
0da7719bc6ad8e31eee459d709fdd2f24952e048,,,,,,,,México,MX,Oaxaca,,Santo Tomás Tamazulapam,cerca tereno de football,1688.0,,,,,,,,,16.27867,96.58105,EPSG:4326,,,,,,,,,,,,
f655f6de07acbc61762f9b326c9c64a85a23ed0f,,,,,,,,México,MX,Oaxaca,,Santo Tomás Tamazulapan,"Car. 175, 4km SE",2009.0,,,,,,,,,16.24921,96.54864,EPSG:4326,,,,,,,,,,,,
5c87a471cad0da4edd1dd769046396236634f779,,,,,,,,México,MX,Oaxaca,,Santa Ana del Valle,Siinbuichi,1830.0,,,,,,,,,17.00791,96.45296,EPSG:4326,,,,,,,,,,,,
b72795360727131cd12f02c0214e6cac7cebe006,,,,,,,,México,MX,Oaxaca,,Tlacolula de Matamoros,"Carretera 190, cerca de la carcel",1641.0,,,,,,,,,16.93552,96.43465,EPSG:4326,,,,,,,,,,,,
783727a463e11482fc6c0efd034f47c39f87fd6a,,,,,,,,México,MX,Oaxaca,,Santiago Matatlan,"Carretera 190, 3 km al Sur del pueblo",1824.0,,,,,,,,,16.84101,96.37163,EPSG:4326,,,,,,,,,,,,
8fdf219b11a17a97c03985c69091042144a77c2a,,,,,,,,México,MX,Oaxaca,,Nejapa de Madero,El Gramal,683.0,,,,,,,,,16.61578,96.03024,EPSG:4326,,,,,,,,,,,,
7d65d8c465d07d4851cf05490da5f38446615efe,,,,,,,,México,MX,Oaxaca,,San Pedro Totolapan,"Carretera 190, 2 km NO del Pueblo",994.0,,,,,,,,,16.68043,96.31699,EPSG:4326,,,,,,,,,,,,
4fbc0c7aabc59e7fbcc22b7aa6c40bb534081622,,,,,,,,México,MX,Oaxaca,,San Juan Lajarcia,Carretera 190,1110.0,,,,,,,,,16.52987,95.93128,EPSG:4326,,,,,,,,,,,,
2d62b569eadd771dfc5a34169cb5822e6efd47ca,,,,,,,,México,MX,Oaxaca,,Santa Catarina Lachatao,Benito Juárez,2885.0,,,,,,,,,17.10908,96.49475,EPSG:4326,,,,,,,,,,,,
8b224939f21c27258fea0d05efeeab24640bf133,,,,,,,,México,MX,Oaxaca,,Santiago Comaltepec,"Carretera 175, 4,3km ENE de la cabezera en linea recta",2880.0,,,,,,,,,17.57642,96.50914,EPSG:4326,,,,,,,,,,,,
e2cebcc6acb3dfff8a4533410f0f5e4f54b60ed4,,,,,,,,México,MX,Oaxaca,,Santiago Comaltepec,"Carretera 175, 1,5km N del cruzero de Puerta del Sol",2765.0,,,,,,,,,17.54313,96.51542,EPSG:4326,,,,,,,,,,,,
39e224875a089d007cdad8d744662bb2e7c8a20c,,,,,,,,México,MX,Oaxaca,,San Juan Evangelista Analco,"Carretera 175, 3,9km SE de la cabezera",2576.0,,,,,,,,,17.3839,96.51066,EPSG:4326,,,,,,,,,,,,
ef245fd1206cd9d46ca6e379b66aa0b93f744bf7,,,,,,,,México,MX,Oaxaca,,Santa Catarina Ixtepeji,"Carretera 175,",2520.0,,,,,,,,,17.19802,96.59466,EPSG:4326,,,,,,,,,,,,
25313405dfcd06209e5b068d97b78fa6749d1893,,,,,,,,México,MX,Oaxaca,,San Juan del Estado,sur del pueblo,1726.0,,,,,,,,,17.26611,96.80103,EPSG:4326,,,,,,,,,,,,
d5c1922c58a492015432c7533ba55b2d73bbe751,,,,,,,,México,MX,Oaxaca,,Suchilquitongo,terraceria sur de la presa,1926.0,,,,,,,,,17.20244,96.94672,EPSG:4326,,,,,,,,,,,,
822ea0595fe63b19d302298a9aff7102ab8f4ad9,,,,,,,,México,MX,Chiapas,,El Porvenir ,"1,1 km S El Porvenir",2863.0,,,,,,,,,15.44532,92.27891,EPSG:4326,,,,,,,,,,,,
990537d1af55af5c7630652e9799c60b805f0cd5,,,,,,,,México,MX,Chiapas,,Motozintla de Mendoza,Llano Grande; Carretera a Motozintla,2512.0,,,,,,,,,15.39453,92.33005,EPSG:4326,,,,,,,,,,,,
78745c1de662a94fb29fcf98e2a58b5291b611d3,,,,,,,,México,MX,Chiapas,,El Porvenir,El Porvenir,2908.0,,,,,,,,,15.45515,92.30473,EPSG:4326,,,,,,,,,,,,
edb7b786b484bfc13b7eb38f02736dfae1e8e959,,,,,,,,México,MX,Chiapas,,Siltepec,las Delicias,1460.0,,,,,,,,,15.55552,92.40129,EPSG:4326,,,,,,,,,,,,
2ce13e61d776cb79dd95fcaba9d467f6301da8fc,,,,,,,,México,MX,Chiapas,,Angel Albino Corzo,las Delicias,823.0,,,,,,,,,15.6435,92.49969,EPSG:4326,,,,,,,,,,,,
5b6143698cb04bcb70e22e50bbc2079ca14369b4,,,,,,,,México,MX,Chiapas,,Ángel Albino Corzo,Salida SO,640.0,,,,,,,,,15.8649,92.74038,EPSG:4326,,,,,,,,,,,,
bdb6d0895425af8486c2ea6cb87e2ccbca921db9,,,,,,,,México,MX,Chiapas,,Ángel Albino Corzo,,811.0,,,,,,,,,15.78974,92.80896,EPSG:4326,,,,,,,,,,,,
24debfeb05ea188591fa3fd393563ef559e795dc,,,,,,,,México,MX,Campeche,,Hopelchén,Xmabén,114.0,,,,,,,,,19.24231,89.32024,EPSG:4326,,,,,,,,,,,,
a4388b7ef22a88082c83ec4da15a6ce144c858ae,,,,,,,,México,MX,Campeche,,Hopelchén,Ich-Ek,70.0,,,,,,,,,19.76077,89.94472,EPSG:4326,,,,,,,,,,,,
5a08c0405565086d4e2d59693ef8f66b3c06e539,,,,,,,,México,MX,Campeche,,Hopelchén,Ich-Ek,78.0,,,,,,,,,19.734,89.943,EPSG:4326,,,,,,,,,,,,
6030e3e06b1df6e1c13c83d12a3eb68f3a1e7f03,,,,,,,,México,MX,Campeche,,Hopelchén,Bolonchén,105.0,,,,,,,,,20.04292,89.7415,EPSG:4326,,,,,,,,,,,,
51f6fbfce33ebe310e9dc228afb86333adfadf4b,,,,,,,,México,MX,Campeche,,Hopelchén,Bolonchén,93.0,,,,,,,,,20.04472,89.70139,EPSG:4326,,,,,,,,,,,,
6c1c87d506f9b8e1389d4e6a0d1bc3302a954a44,,,,,,,,México,MX,Campeche,,Hopelchén,Nuevo Progreso,77.0,,,,,,,,,19.65609,89.65735,EPSG:4326,,,,,,,,,,,,
0b33c99a6fc5510d59ad764c96990f82dcc6a7ab,,,,,,,,México,MX,Campeche,,Hopelchén,Nuevo Progreso,70.0,,,,,,,,,19.71292,89.80461,EPSG:4326,,,,,,,,,,,,
d118806b9d4d7653bb7c5143239ced5d6eba3b66,,,,,,,,México,MX,Campeche,,Hopelchén,El Temporal,110.0,,,,,,,,,19.57628,89.77431,EPSG:4326,,,,,,,,,,,,
434368555e6e989006414933ace0cf82af44ee69,,,,,,,,México,MX,Campeche,,Hopelchén,El Temporal,143.0,,,,,,,,,19.5425,89.74861,EPSG:4326,,,,,,,,,,,,
e247960fe540a88d7cddc460076aea71799e8221,,,,,,,,México,MX,Campeche,,Hopelchén,Trinidad,147.0,,,,,,,,,19.39277,89.70933,EPSG:4326,,,,,,,,,,,,
8569afda58fc7ea0a88f551dfe54dbb474b02908,,,,,,,,México,MX,Campeche,,Hopelchén,Trinidad,168.0,,,,,,,,,19.36586,89.72721,EPSG:4326,,,,,,,,,,,,
b82bb8fa7e1533bb5f1997812f992bb8e7c11c1e,,,,,,,,México,MX,Campeche,,Hopelchén,Nuevo Durango,122.0,,,,,,,,,19.40737,89.39675,EPSG:4326,,,,,,,,,,,,
e486a88003331d6c0e09b50b40cc5ff61e4e4087,,,,,,,,México,MX,Campeche,,Hopelchén,Nuevo Durango,130.0,,,,,,,,,19.40694,89.35139,EPSG:4326,,,,,,,,,,,,
28c34df5df5d4663fce47e257a7dc9cb0e691471,,,,,,,,México,MX,Campeche,,Hopelchén,Xmabén,130.0,,,,,,,,,19.33339,89.26522,EPSG:4326,,,,,,,,,,,,
2ba46775457e3be973e377854e406e602ef2d551,,,,,,,,México,MX,Campeche,,Hopelchén,Xmejía,148.0,,,,,,,,,19.22753,89.37812,EPSG:4326,,,,,,,,,,,,
8366e2b2af1090c8a3e62d55ee3cf43e2f0bc9d4,,,,,,,,México,MX,Campeche,,Hopelchén,Xmejía,170.0,,,,,,,,,19.192,89.373,EPSG:4326,,,,,,,,,,,,
192d120547b9edcb124bdc61fec39963a4f9191b,,,,,,,,Nicaragua,NI,Rivas,,San Juan del Sur,Camino a Collado,39.0,,,,,,,,,11.19334,85.76996,EPSG:4326,,,,,,,,,,,,
95e708ef53c51814288abe36cc60053c20c39699,,,,,,,,Nicaragua,NI,Rivas,,San Juan del Sur,Camino a San Antonio,15.0,,,,,,,,,11.12114,85.75496,EPSG:4326,,,,,,,,,,,,
22704f3799ad365a3fa759ced74734ffbaab71b7,,,,,,,,Nicaragua,NI,Rivas,,San Juan del Sur,Camino de Escameca a Collado,25.0,,,,,,,,,11.18204,85.79354,EPSG:4326,,,,,,,,,,,,
d02f5ab1d8880a2375004d2c972e6608c1b078b4,,,,,,,,Nicaragua,NI,Rivas,,San Juan del Sur,Fátima,188.0,,,,,,,,,11.18569,85.72649,EPSG:4326,,,,,,,,,,,,
5728a5b35e666dbb88804169355efa0ed5a6b131,,,,,,,,Nicaragua,NI,Rivas,,Cárdenas,Finca Paso Pacifico,109.0,,,,,,,,,11.20235,85.65926,EPSG:4326,,,,,,,,,,,,
e5380ca0eba47a0c63c9dd217f6f3b7c6814c8fa,,,,,,,,Nicaragua,NI,Rivas,,San Juan del Sur ,Hacienda La Flor,16.0,,,,,,,,,11.14192,85.7829,EPSG:4326,,,,,,,,,,,,
