target_id	target_type	assertion_type	assertion_value	assertion_value_numeric	assertion_unit	assertion_made_date	assertion_effective_date	assertion_protocol_id
obj_001	Organism	sex	male			2003-02-26	2003-02-26	
obj_002	Organism	sex	male			2003-02-26	2003-02-26	
obj_003	Organism	sex	male			2003-02-22	2003-02-22	
obj_004	Organism	sex	female			2003-05-03	2003-05-03	
obj_005	Organism	sex	female			2003-03-19	2003-03-19	
obj_006	Organism	sex	female			2003-10-18	2003-10-18	
obj_007	Organism	sex	female			2003-10-18	2003-10-18	
obj_008	Organism	sex	female			2003-10-18	2003-10-18	
obj_009	Organism	sex	female			2003-10-18	2003-10-18	
obj_010	Organism	sex	female			2003-10-18	2003-10-18	
obj_011	Organism	sex	female			2003-10-01	2003-10-01	
obj_012	Organism	sex	female			2003-10-31	2003-10-31	
obj_013	Organism	sex	female			2003-09-06	2003-09-06	
obj_014	Organism	sex	female			2003-09-27	2003-09-27	
obj_015	Organism	sex	female			2003-11-15	2003-11-15	
obj_016	Organism	sex	female			2003-11-15	2003-11-15	
obj_017	Organism	sex	female			2003-11-28	2003-11-28	
obj_018	Organism	sex	female			2003-11-28	2003-11-28	
obj_019	Organism	sex	male			2003-11-28	2003-11-28	
obj_020	Organism	sex	male			2003-11-29	2003-11-29	
obj_021	Organism	sex	female			2003-11-15	2003-11-15	
obj_022	Organism	sex	male			2003-11-28	2003-11-28	
obj_023	Organism	sex	female			2003-03-25	2003-03-25	
obj_024	Organism	sex	female			2003-03-19	2003-03-19	
obj_025	Organism	sex	female			2003-03-19	2003-03-19	
obj_026	Organism	sex	female			2003-03-19	2003-03-19	
obj_027	Organism	sex	female			2003-02-22	2003-02-22	
obj_028	Organism	sex	female			2003-02-26	2003-02-26	
obj_029	Organism	sex	female			2003-03-25	2003-03-25	
obj_030	Organism	sex	female			2003-02-26	2003-02-26	
obj_031	Organism	sex	female			2003-02-22	2003-02-22	
